gpsWeek	gpsTow	day	mon	year	hour	min	sec	ecef_x_m	ecef_y_m	ecef_z_m	enlem_deg	boylam_deg	irtifa_m_msl	irtifa_m_ell
2169	471983.998000	6	8	2021	11	6	23	4208117.536000	2335560.804000	4171663.220000	41.108783	29.030853	160.361000	197.742000
2169	471984.998000	6	8	2021	11	6	24	4208117.531000	2335560.829000	4171663.186000	41.108783	29.030854	160.361000	197.733000
2169	471985.998000	6	8	2021	11	6	25	4208117.576000	2335560.839000	4171663.251000	41.108783	29.030854	160.392000	197.764000
2169	471986.998000	6	8	2021	11	6	26	4208117.564000	2335560.934000	4171663.265000	41.108782	29.030854	160.391000	197.772000
2169	471987.998000	6	8	2021	11	6	27	4208117.567000	2335560.913000	4171663.122000	41.108782	29.030854	160.324000	197.705000
2169	471988.998000	6	8	2021	11	6	28	4208117.518000	2335560.974000	4171663.022000	41.108781	29.030855	160.266000	197.647000
2169	471989.998000	6	8	2021	11	6	29	4208117.618000	2335561.019000	4171662.930000	41.108780	29.030855	160.275000	197.656000
2169	471990.998000	6	8	2021	11	6	30	4208117.565000	2335561.091000	4171662.886000	41.108779	29.030856	160.221000	197.602000
2169	471991.998000	6	8	2021	11	6	31	4208117.573000	2335561.110000	4171662.668000	41.108778	29.030856	160.090000	197.462000
2169	471992.998000	6	8	2021	11	6	32	4208117.591000	2335561.156000	4171662.563000	41.108777	29.030857	160.056000	197.437000
2169	471993.998000	6	8	2021	11	6	33	4208117.615000	2335561.222000	4171662.384000	41.108776	29.030857	159.975000	197.356000
2169	471994.998000	6	8	2021	11	6	34	4208117.549000	2335561.224000	4171662.109000	41.108774	29.030858	159.815000	197.196000
2169	471995.998000	6	8	2021	11	6	35	4208117.561000	2335561.313000	4171661.962000	41.108772	29.030858	159.703000	197.085000
2169	471996.998000	6	8	2021	11	6	36	4208117.561000	2335561.367000	4171661.757000	41.108771	29.030859	159.633000	197.014000
2169	471997.998000	6	8	2021	11	6	37	4208117.646000	2335561.482000	4171661.426000	41.108769	29.030860	159.462000	196.843000
2169	471998.998000	6	8	2021	11	6	38	4208117.661000	2335561.498000	4171661.271000	41.108767	29.030860	159.375000	196.757000
2169	471999.998000	6	8	2021	11	6	39	4208117.640000	2335561.641000	4171661.000000	41.108765	29.030861	159.258000	196.640000
2169	472000.998000	6	8	2021	11	6	40	4208117.659000	2335561.672000	4171660.801000	41.108763	29.030862	159.158000	196.540000
2169	472001.998000	6	8	2021	11	6	41	4208117.686000	2335561.745000	4171660.568000	41.108761	29.030862	159.062000	196.443000
2169	472002.998000	6	8	2021	11	6	42	4208117.758000	2335561.840000	4171660.367000	41.108760	29.030863	158.981000	196.362000
2169	472003.998000	6	8	2021	11	6	43	4208117.727000	2335561.888000	4171660.246000	41.108758	29.030863	158.908000	196.289000
2169	472004.998000	6	8	2021	11	6	44	4208117.809000	2335561.964000	4171660.061000	41.108757	29.030864	158.877000	196.259000
2169	472005.998000	6	8	2021	11	6	45	4208117.820000	2335562.081000	4171659.961000	41.108756	29.030864	158.888000	196.260000
2169	472006.998000	6	8	2021	11	6	46	4208117.953000	2335562.092000	4171659.987000	41.108755	29.030865	158.979000	196.361000
2169	472007.998000	6	8	2021	11	6	47	4208117.968000	2335562.177000	4171660.060000	41.108755	29.030865	159.051000	196.432000
2169	472008.998000	6	8	2021	11	6	48	4208118.072000	2335562.257000	4171660.060000	41.108755	29.030865	159.127000	196.508000
2169	472009.998000	6	8	2021	11	6	49	4208118.127000	2335562.354000	4171660.052000	41.108754	29.030866	159.198000	196.580000
2169	472010.998000	6	8	2021	11	6	50	4208118.140000	2335562.395000	4171660.039000	41.108754	29.030866	159.244000	196.626000
2169	472011.998000	6	8	2021	11	6	51	4208118.175000	2335562.473000	4171660.040000	41.108753	29.030867	159.307000	196.680000
2169	472012.998000	6	8	2021	11	6	52	4208118.207000	2335562.514000	4171659.947000	41.108752	29.030867	159.304000	196.676000
2169	472013.998000	6	8	2021	11	6	53	4208118.307000	2335562.618000	4171659.974000	41.108752	29.030868	159.338000	196.720000
2169	472014.998000	6	8	2021	11	6	54	4208118.350000	2335562.707000	4171659.890000	41.108751	29.030868	159.338000	196.719000
2169	472015.998000	6	8	2021	11	6	55	4208118.342000	2335562.782000	4171659.757000	41.108750	29.030869	159.325000	196.697000
2169	472016.998000	6	8	2021	11	6	56	4208118.320000	2335562.822000	4171659.708000	41.108749	29.030870	159.336000	196.717000
2169	472017.998000	6	8	2021	11	6	57	4208118.402000	2335562.886000	4171659.738000	41.108748	29.030870	159.345000	196.727000
2169	472018.998000	6	8	2021	11	6	58	4208118.362000	2335563.024000	4171659.627000	41.108748	29.030871	159.365000	196.746000
2169	472019.998000	6	8	2021	11	6	59	4208118.413000	2335563.082000	4171659.679000	41.108747	29.030872	159.403000	196.776000
2169	472020.998000	6	8	2021	11	7	0	4208118.389000	2335563.189000	4171659.586000	41.108747	29.030873	159.390000	196.772000
2169	472021.998000	6	8	2021	11	7	1	4208118.458000	2335563.256000	4171659.549000	41.108746	29.030873	159.426000	196.799000
2169	472022.998000	6	8	2021	11	7	2	4208118.509000	2335563.319000	4171659.492000	41.108745	29.030874	159.475000	196.857000
2169	472023.998000	6	8	2021	11	7	3	4208118.575000	2335563.456000	4171659.479000	41.108744	29.030875	159.475000	196.857000
2169	472024.998000	6	8	2021	11	7	4	4208118.615000	2335563.517000	4171659.418000	41.108744	29.030876	159.569000	196.942000
2169	472025.998000	6	8	2021	11	7	5	4208118.614000	2335563.624000	4171659.466000	41.108743	29.030877	159.656000	197.038000
2169	472026.998000	6	8	2021	11	7	6	4208118.656000	2335563.738000	4171659.496000	41.108743	29.030877	159.727000	197.100000
2169	472027.998000	6	8	2021	11	7	7	4208118.774000	2335563.870000	4171659.481000	41.108742	29.030878	159.810000	197.192000
2169	472028.998000	6	8	2021	11	7	8	4208118.777000	2335564.006000	4171659.491000	41.108742	29.030879	159.874000	197.255000
2169	472029.998000	6	8	2021	11	7	9	4208118.871000	2335564.071000	4171659.391000	41.108741	29.030880	159.936000	197.317000
2169	472030.998000	6	8	2021	11	7	10	4208118.972000	2335564.257000	4171659.445000	41.108740	29.030881	160.020000	197.393000
2169	472031.998000	6	8	2021	11	7	11	4208118.948000	2335564.333000	4171659.401000	41.108739	29.030881	160.055000	197.437000
2169	472032.998000	6	8	2021	11	7	12	4208119.079000	2335564.403000	4171659.394000	41.108739	29.030882	160.148000	197.530000
2169	472033.998000	6	8	2021	11	7	13	4208119.092000	2335564.494000	4171659.406000	41.108738	29.030883	160.253000	197.625000
2169	472034.998000	6	8	2021	11	7	14	4208119.225000	2335564.609000	4171659.432000	41.108738	29.030883	160.331000	197.703000
2169	472035.998000	6	8	2021	11	7	15	4208119.216000	2335564.677000	4171659.410000	41.108737	29.030884	160.393000	197.775000
2169	472036.998000	6	8	2021	11	7	16	4208119.300000	2335564.835000	4171659.371000	41.108737	29.030885	160.445000	197.827000
2169	472037.998000	6	8	2021	11	7	17	4208119.272000	2335564.897000	4171659.446000	41.108736	29.030885	160.496000	197.878000
2169	472038.998000	6	8	2021	11	7	18	4208119.351000	2335565.020000	4171659.316000	41.108735	29.030886	160.489000	197.870000
